symbol,date,price
GOOGL,7/7/2022,118.78
GOOGL,7/6/2022,114.57
GOOGL,7/5/2022,113.26
GOOGL,7/1/2022,108.74
GOOGL,6/30/2022,108.96
GOOGL,6/29/2022,111.7
GOOGL,6/28/2022,112.01
GOOGL,6/27/2022,115.83
GOOGL,6/24/2022,117.97
GOOGL,6/23/2022,112.24
GOOGL,6/22/2022,111.49
GOOGL,6/21/2022,111.54
GOOGL,6/17/2022,107.14
GOOGL,6/16/2022,106.03
GOOGL,6/15/2022,109.76
GOOGL,6/14/2022,106.72
GOOGL,6/13/2022,106.39
GOOGL,6/10/2022,111.16
GOOGL,6/9/2022,114.84
GOOGL,6/8/2022,117.19
GOOGL,6/7/2022,117.15
GOOGL,6/6/2022,116.82
GOOGL,6/3/2022,114.54
GOOGL,6/2/2022,117.62
GOOGL,6/1/2022,113.89
GOOGL,5/31/2022,113.76
GOOGL,5/27/2022,112.32
GOOGL,5/26/2022,107.79
GOOGL,5/25/2022,105.81
GOOGL,5/24/2022,105.97
GOOGL,5/23/2022,111.49
GOOGL,5/20/2022,108.91
GOOGL,5/19/2022,110.38
GOOGL,5/18/2022,111.9
GOOGL,5/17/2022,116.47
GOOGL,5/16/2022,114.44
GOOGL,5/13/2022,116.05
GOOGL,5/12/2022,112.84
GOOGL,5/11/2022,113.6
GOOGL,5/10/2022,114.39
GOOGL,5/9/2022,112.51
GOOGL,5/6/2022,115.75
GOOGL,5/5/2022,116.51
GOOGL,5/4/2022,122.26
GOOGL,5/3/2022,117.33
GOOGL,5/2/2022,116.58
GOOGL,4/29/2022,114.11
GOOGL,4/28/2022,118.52
GOOGL,4/27/2022,114.29
GOOGL,4/26/2022,118.65
GOOGL,4/25/2022,123.07
GOOGL,4/22/2022,119.64
GOOGL,4/21/2022,124.81
GOOGL,4/20/2022,128.04
GOOGL,4/19/2022,130.01
GOOGL,4/18/2022,127.68
GOOGL,4/14/2022,126.73
GOOGL,4/13/2022,129.89
GOOGL,4/12/2022,127.71
GOOGL,4/11/2022,128.82
GOOGL,4/8/2022,133.29
GOOGL,4/7/2022,135.89
GOOGL,4/6/2022,136.55
GOOGL,4/5/2022,140.59
GOOGL,4/4/2022,142.97
GOOGL,4/1/2022,140.15
GOOGL,3/31/2022,139.07
GOOGL,3/30/2022,141.94
GOOGL,3/29/2022,142.51
GOOGL,3/28/2022,141.46
GOOGL,3/25/2022,141.67
GOOGL,3/24/2022,141.57
GOOGL,3/23/2022,138.28
GOOGL,3/22/2022,139.87
GOOGL,3/21/2022,136.1
GOOGL,3/18/2022,136.13
GOOGL,3/17/2022,133.84
GOOGL,3/16/2022,133.28
GOOGL,3/15/2022,129.2
GOOGL,3/14/2022,125.95
GOOGL,3/11/2022,129.87
GOOGL,3/10/2022,132.43
GOOGL,3/9/2022,133.42
GOOGL,3/8/2022,127.1
GOOGL,3/7/2022,126.38
GOOGL,3/4/2022,131.91
GOOGL,3/3/2022,133.9
GOOGL,3/2/2022,134.57
GOOGL,3/1/2022,134.06
GOOGL,2/28/2022,135.06
GOOGL,2/25/2022,134.46
GOOGL,2/24/2022,132.69
GOOGL,2/23/2022,127.59
GOOGL,2/22/2022,129.81
GOOGL,2/18/2022,130.4
GOOGL,2/17/2022,132.54
GOOGL,2/16/2022,137.74
GOOGL,2/15/2022,136.61
GOOGL,2/14/2022,135.53
GOOGL,2/11/2022,134.28
GOOGL,2/10/2022,138.62
GOOGL,2/9/2022,141.59
GOOGL,2/8/2022,139.4
GOOGL,2/7/2022,139.2
GOOGL,2/4/2022,143.29
GOOGL,2/3/2022,143.09
GOOGL,2/2/2022,148
GOOGL,2/1/2022,137.64
GOOGL,1/31/2022,135.3
GOOGL,1/28/2022,133.35
GOOGL,1/27/2022,129
GOOGL,1/26/2022,129.23
GOOGL,1/25/2022,126.94
GOOGL,1/24/2022,130.8
GOOGL,1/21/2022,130.35
GOOGL,1/20/2022,133.31
GOOGL,1/19/2022,135.12
GOOGL,1/18/2022,136
GOOGL,1/14/2022,139.48
GOOGL,1/13/2022,138.59
GOOGL,1/12/2022,141.43
GOOGL,1/11/2022,139.74
GOOGL,1/10/2022,138.67
GOOGL,1/7/2022,137.02
GOOGL,1/6/2022,137.75
GOOGL,1/5/2022,137.78
GOOGL,1/4/2022,144.4
GOOGL,1/3/2022,144.99
META,9/23/2022,140.41
META,9/22/2022,142.82
META,9/21/2022,142.12
META,9/20/2022,146.09
META,9/19/2022,148.02
META,9/16/2022,146.29
META,9/15/2022,149.55
META,9/14/2022,151.47
META,9/13/2022,153.13
META,9/12/2022,168.96
META,9/9/2022,169.15
META,9/8/2022,162.06
META,9/7/2022,160.39
META,9/6/2022,158.54
META,9/2/2022,160.32
META,9/1/2022,165.36
META,8/31/2022,162.93
META,8/30/2022,157.16
META,8/29/2022,159.17
META,8/26/2022,161.78
META,8/25/2022,168.78
META,8/24/2022,163.26
META,8/23/2022,161.11
META,8/22/2022,163.05
META,8/19/2022,167.96
META,8/18/2022,174.66
META,8/17/2022,174.85
META,8/16/2022,179.47
META,8/15/2022,180.89
META,8/12/2022,180.5
META,8/11/2022,177.49
